维度,深度,链长,均值,标准差
10,1.0,50,1.0048814157488004,1.091846473069765
10,1.0,100,0.4302112566723763,1.2733004216195705
10,1.0,150,0.14330453652046493,1.2677588786388874
10,1.0,200,0.08890502755252175,1.2242761340629411
10,1.0,250,0.06637244408433572,1.189497531025743
10,2.0,50,0.5401792394446319,1.1411795407493737
10,2.0,100,0.4059379736775205,1.1060753824340084
10,2.0,150,0.36552122136630244,1.1165744630329342
10,2.0,200,0.23506259670341104,1.1249149092283544
10,2.0,250,0.25890884642453593,1.0675285723133168
10,3.0,50,0.6711747991272892,1.1566482189750233
10,3.0,100,0.3094397982456153,1.0591145563362694
10,3.0,150,0.23561400098884708,1.0811559678434854
10,3.0,200,0.113619629603392,1.0839947058509427
10,3.0,250,0.11035641822581149,1.0729038869255074
10,4.0,50,0.34636923421492766,1.058524157189781
10,4.0,100,0.23283071957520948,0.9769785964848469
10,4.0,150,0.24161665213718697,0.9256405930199076
10,4.0,200,0.1612189448674526,0.9667556907389258
10,4.0,250,0.07721480714135684,0.9781604691187342
10,5.0,50,0.2291379363676851,1.4028495243041028
10,5.0,100,0.19026810241320793,1.1926149937598065
10,5.0,150,0.15719663171228027,1.1407651938733554
10,5.0,200,0.11443711448253915,1.0980515844416245
10,5.0,250,0.10829517732200157,1.0635510771155607
20,1.0,50,1.9206157037354126,1.1413905370381703
20,1.0,100,1.1660794915273562,1.3634253199258546
20,1.0,150,0.757952801641567,1.3765525340275446
20,1.0,200,0.5340054494233675,1.3581966177335045
20,1.0,250,0.4319089308790873,1.3140333083247366
20,2.0,50,1.2532713102025355,1.323168618593528
20,2.0,100,0.7098095053493448,1.319796386834242
20,2.0,150,0.5960928634636683,1.2333963596892625
20,2.0,200,0.5408473756287469,1.1698026281078544
20,2.0,250,0.4235072507739147,1.1393275536937921
20,3.0,50,1.130866651281639,1.4660993720340658
20,3.0,100,0.6597328833097762,1.3354214470757657
20,3.0,150,0.44797498539622876,1.285365816651858
20,3.0,200,0.34030594768836614,1.21621400840016
20,3.0,250,0.2890811057245675,1.170294679322215
20,4.0,50,0.6794922293482842,1.2438083577118306
20,4.0,100,0.268709388158902,1.1422299875361448
20,4.0,150,0.20708394023437973,1.0785395305469756
20,4.0,200,0.1954832410733741,1.067778645917039
20,4.0,250,0.16617327747305957,1.0498498166150985
20,5.0,50,0.2776760278655183,1.281600970078786
20,5.0,100,0.08694524451051945,1.1607046162015386
20,5.0,150,0.09421843672584583,1.121050055297665
20,5.0,200,0.068441156092393,1.1110294594218528
20,5.0,250,0.08655502267240228,1.0852686203063988
40,1.0,50,1.5424694962273742,1.5560484506784198
40,1.0,100,1.1507539642368485,1.7220192429623957
40,1.0,150,0.9044226722812462,1.762945393436733
40,1.0,200,0.6788513220892952,1.7468392136574664
40,1.0,250,0.5266066337355954,1.689694554423852
40,2.0,50,1.5966400272758496,1.2849533079267303
40,2.0,100,1.014431756844498,1.4714341403110585
40,2.0,150,0.7118304408131938,1.4634987291231536
40,2.0,200,0.5055236992964032,1.4405022014216406
40,2.0,250,0.4508718145839146,1.3617486320953431
40,3.0,50,1.3240938112131755,1.4932202656772267
40,3.0,100,0.6126712065537623,1.5727593265456135
40,3.0,150,0.43381355193685833,1.4782265745294365
40,3.0,200,0.325767228221801,1.3698122586510313
40,3.0,250,0.25448029612332296,1.3077242697258729
40,4.0,50,0.9877027682318938,1.4182832315000653
40,4.0,100,0.39576074540239226,1.4635867496254602
40,4.0,150,0.24115121778594178,1.3675072123948244
40,4.0,200,0.1586683545892487,1.2833800850016812
40,4.0,250,0.14601991565323477,1.2242921647547536
40,5.0,50,0.7447795387823865,1.5101478871555778
40,5.0,100,0.3766486815078597,1.3912257378914226
40,5.0,150,0.21963419373600376,1.2835102715617395
40,5.0,200,0.15058861920461322,1.2307305935296549
40,5.0,250,0.12663685098785876,1.2033669814560144
80,1.0,50,2.3489009388837174,0.6932803643135104
80,1.0,100,2.054054577200618,1.13086154498952
80,1.0,150,1.6872181464079277,1.4148828746840783
80,1.0,200,1.3911375862517186,1.551881139251405
80,1.0,250,1.1846942786691812,1.5990903403734316
80,2.0,50,1.9158375854927578,1.2326780932227905
80,2.0,100,1.4022178213311922,1.4894961397115507
80,2.0,150,1.1516047367147937,1.5163279475932194
80,2.0,200,0.9156770404715628,1.5537106232068034
80,2.0,250,0.7655956699044503,1.5435187476189782
80,3.0,50,1.4394468606650652,1.5132512236171227
80,3.0,100,1.0735335996719397,1.5552837900687262
80,3.0,150,0.890941374974814,1.5229749409546134
80,3.0,200,0.7491810480469285,1.5044465604640782
80,3.0,250,0.6498854468826334,1.4785800993448937
80,4.0,50,1.4364969318082101,1.4059627513676278
80,4.0,100,0.9248301032389029,1.527107144814728
80,4.0,150,0.6513589123495445,1.4887456702937096
80,4.0,200,0.4984667740208629,1.4349872433436965
80,4.0,250,0.41692216178682456,1.3847470995484898
80,5.0,50,1.1708948479168138,1.449117980054997
80,5.0,100,0.707086688850192,1.458480728540717
80,5.0,150,0.5076488313014798,1.4036704520710663
80,5.0,200,0.34554820080100823,1.3663062120413518
80,5.0,250,0.2883787721152782,1.3316362195290583
160,1.0,50,2.286982558900452,0.9124505510547497
160,1.0,100,2.155102831312755,1.112546853778405
160,1.0,150,2.0459015047908924,1.2238409955619383
160,1.0,200,1.970264961191816,1.2923803066688706
160,1.0,250,1.892462393119319,1.3549802600918457
160,2.0,50,2.26490480571826,0.8534031770376003
160,2.0,100,1.9666755773339353,1.2412295916989042
160,2.0,150,1.699464754306224,1.5034314810720097
160,2.0,200,1.4911956056830316,1.6431941307372533
160,2.0,250,1.324407809565555,1.7174356850275716
160,3.0,50,1.9563557151771966,1.350268611718245
160,3.0,100,1.6876732779062515,1.5903769060474793
160,3.0,150,1.4489765874785183,1.7172074262711245
160,3.0,200,1.2267093424663122,1.8038183365457263
160,3.0,250,1.0509625665767455,1.8476093128524036
160,4.0,50,1.9909742661587446,1.3146481571237327
160,4.0,100,1.6849303548553622,1.604231317558604
160,4.0,150,1.4393363289428407,1.732727251342467
160,4.0,200,1.2506988039971658,1.7512132215136198
160,4.0,250,1.116159678654136,1.7532515342417254
160,5.0,50,1.857378526385867,1.4095986395056272
160,5.0,100,1.3487411527027116,1.6677058161081797
160,5.0,150,1.0680842655926401,1.717292418376775
160,5.0,200,0.8565794242843762,1.7327277219260195
160,5.0,250,0.7202457236402897,1.7287619947164994
